時間,開盤價,最高價,最低價,收盤價,SMA10,SMA20,SMA60,成交量,買賣超(元),主力累計買賣超(元),買進(元),賣出(元)
2019/8/29,10440.15,10466.99,10406.49,10462.43,10466.44,10461.69,10658.94,1042.49,-10億,1兆,45億,55億
2019/8/30,10504.28,10618.05,10504.28,10618.05,10486.15,10456.01,10661.54,1482.17,151億,1兆,203億,52億
2019/9/2,10613.19,10634.85,10589.42,10634.85,10500.76,10460.3,10665.3,1058.49,19億,1兆,57億,38億
2019/9/3,10629.22,10650.15,10557.03,10558.21,10504.33,10467.04,10665.17,1055.77,-72億,1兆,30億,102億
2019/9/4,10566.32,10670.43,10566.32,10657.31,10517.48,10480.17,10665.99,1070.93,55億,1兆,119億,64億
2019/9/5,10718.4,10766.6,10714.27,10756.93,10540.2,10498.7,10668.35,1546.62,183億,2兆,227億,44億
2019/9/6,10783.46,10803.07,10753.45,10780.64,10564.45,10513.01,10672.01,1313.07,55億,2兆,108億,53億
2019/9/9,10808.68,10829.44,10778.15,10801.14,10609.11,10529.45,10676.61,1167.33,9億,2兆,62億,53億
2019/9/10,10791.95,10810.03,10732.78,10753.58,10645.74,10549,10680.33,1213.38,-14億,2兆,62億,76億
2019/9/11,10787.65,10815.59,10746.87,10790.35,10681.35,10567.13,10684.06,1199.38,25億,2兆,96億,71億
2019/9/12,10830.25,10862.68,10804.02,10827.55,10717.86,10592.15,10684.93,1208.73,28億,2兆,96億,67億
2019/9/16,10822.69,10898.13,10822.69,10898.13,10745.87,10616.01,10686.81,1195.76,60億,2兆,123億,62億
2019/9/17,10908.85,10912.23,10866.43,10874.5,10769.83,10635.3,10687.99,1175.47,18億,2兆,76億,58億
2019/9/18,10887.42,10971.54,10878.34,10929.45,10806.96,10655.65,10690.49,1304.65,107億,2兆,207億,100億
2019/9/19,10947.62,10954.18,10874.66,10894.7,10830.7,10674.09,10693.63,1146.71,-2億,2兆,59億,61億
2019/9/20,10908.1,10931.76,10903.45,10929.69,10847.97,10694.09,10698.25,1479.8,54億,2兆,145億,92億
2019/9/23,10924.81,10948.19,10905.92,10919.02,10861.81,10713.13,10700.66,1068.41,-16億,2兆,61億,77億
2019/9/24,10917.44,10947.53,10886.62,10918.01,10873.5,10741.3,10703.78,1097.08,-16億,2兆,62億,78億
2019/9/25,10885.67,10885.67,10825.85,10873.69,10885.51,10765.63,10703.42,1062.59,-74億,2兆,26億,101億
2019/9/26,10909.57,10934.91,10856.96,10871.99,10893.67,10787.51,10703.54,1160.19,-25億,2兆,76億,101億
2019/9/27,10904,10921.17,10827.61,10829.68,10893.89,10805.87,10704.97,1247.72,-32億,2兆,87億,119億
2019/10/1,10855.6,10967.65,10855.6,10967.65,10900.84,10823.35,10708.16,1498.49,38億,2兆,165億,128億
2019/10/2,10945.92,10965.2,10927.39,10947.88,10908.18,10839.01,10710.87,1169.51,-21億,2兆,47億,68億
2019/10/3,10866.5,10888.4,10809.28,10875.91,10902.82,10854.89,10712.94,1217.16,-126億,2兆,44億,170億
2019/10/4,10907.69,10941.49,10854.12,10894.48,10902.8,10866.75,10716.14,1235.65,-59億,2兆,49億,108億
2019/10/7,10932.24,10954.45,10919.43,10935.06,10903.34,10875.66,10718.41,1143.85,7億,2兆,57億,50億
2019/10/8,10986.01,11020.51,10986.01,11017.31,10913.17,10887.49,10721.31,1310.2,69億,2兆,137億,69億
2019/10/9,10976.93,10989.39,10889.96,10889.96,10910.36,10891.93,10722.41,1304.65,-121億,2兆,20億,141億
2019/10/14,11004.74,11085.49,11004.74,11066.95,10929.69,10907.6,10725.58,1627,145億,2兆,208億,63億
2019/10/15,11103.5,11126.45,11091.29,11111.8,10953.67,10923.67,10729.34,1376.04,7億,2兆,67億,60億
2019/10/16,11166.17,11180.11,11113.18,11162.83,10986.98,10940.43,10734.92,1480.47,20億,2兆,111億,91億
2019/10/17,11156.14,11186.88,11131.45,11186.88,11008.91,10954.87,10741.38,1236.97,27億,2兆,123億,95億
2019/10/18,11190.21,11237.38,11154.86,11180.22,11032.14,10970.16,10746.49,1463.73,11億,2兆,126億,114億
2019/10/21,11166.24,11188.13,11147.86,11184.15,11062.96,10982.89,10750.49,1032.08,-11億,2兆,78億,89億
2019/10/22,11221.19,11271.25,11218.25,11271.25,11100.64,11001.72,10755.89,1274.42,75億,2兆,152億,78億
2019/10/23,11266.18,11281.12,11209.1,11239.67,11131.1,11017.22,10760.95,1408.28,22億,2兆,82億,60億
2019/10/24,11266.84,11320.14,11254.59,11320.14,11161.39,11037.28,10767.26,1433.41,99億,2兆,163億,64億
2019/10/25,11336.64,11347.18,11281.37,11296.12,11202,11056.18,10774,1304.42,4億,2兆,71億,68億
2019/10/28,11321.99,11341.03,11295.44,11315.02,11226.81,11078.25,10781.16,1175.62,54億,2兆,100億,46億
2019/10/29,11347.39,11373.95,11292.83,11333.87,11249.02,11101.34,10789.54,1467.44,9億,2兆,106億,97億
2019/10/30,11336.97,11380.28,11306.95,11380.28,11270.76,11128.87,10798.81,1251.57,20億,2兆,99億,79億
2019/10/31,11393.68,11428.42,11358.71,11358.71,11287.94,11148.42,10809.26,1560.79,28億,2兆,119億,92億
2019/11/1,11373.7,11399.53,11335.51,11399.53,11309.87,11171.01,10823.44,1374.56,48億,2兆,111億,63億
