日期,開盤,最高,最低,收盤,MA10,MA20,均線狀態,追蹤方向,追蹤中缺口數,缺口回補基準值,多方觀察期中,候選State,候選總持股比例,當日事件
2026-02-05,7531.92,7727.29,7473.85,7614.64,7996.24,7890.88,空方確認,,0,,,0,100%,
2026-02-06,7762.11,8071.49,7752.54,8048.62,8005.31,7921.51,多方確認,up,1,7727.29,,0,100%,"向上缺口(第1個,下緣7727)；候選:第一個多方反向缺口→僅進入觀察期，水位不變；均線多方確認(新)；候選:均線多方確認→回補一階 → State0"
2026-02-09,7991.18,8209.62,7948.53,8162.58,8028.86,7947.7,多方確認,up,1,7727.29,,0,100%,
2026-02-10,8191.61,8197.92,8051.91,8107.13,8027.86,7969.32,多方確認,up,1,7727.29,,0,100%,
2026-02-11,8263.18,8345.69,8100.58,8291.86,8026.37,7996.51,多方確認,up,1,7727.29,,0,100%,
2026-02-12,8358.08,8400.02,8079.79,8084.7,8002.8,8015.67,多方確認,up,1,7727.29,,0,100%,
2026-02-13,8090.33,8209.31,8010.26,8137.86,8016.74,8030.7,多方確認,up,1,7727.29,,0,100%,
2026-02-17,8021.99,8210.52,7926.98,8136.05,8016.89,8041.13,多方確認,up,1,7727.29,,0,100%,
2026-02-18,8170.28,8303.32,8137.5,8214.35,8041.7,8062.14,多方確認,up,1,7727.29,,0,100%,
2026-02-19,8133.24,8182.4,8076.76,8173.3,8097.11,8068.7,多方確認,up,1,7727.29,,0,100%,
2026-02-20,8109.04,8308.27,8106.04,8260.42,8161.69,8078.96,多方確認,up,1,7727.29,,0,100%,
2026-02-23,8248.44,8291.39,8124.28,8213.46,8178.17,8091.74,多方確認,up,1,7727.29,,0,100%,
2026-02-24,8314.74,8387.63,8225.72,8332.34,8195.15,8112.0,多方確認,up,1,7727.29,,0,100%,
2026-02-25,8442.85,8498.1,8418.51,8467.43,8231.18,8129.52,多方確認,up,2,8387.63,,0,100%,"向上缺口(第2個,下緣8388)；候選:第二個同向多方缺口→回補一階 → State0"
2026-02-26,8402.98,8422.15,8062.11,8197.26,8221.72,8124.04,中性,,0,,,0,100%,多方缺口回補(收盤確認)；候選:多方缺口回補→僅重置追蹤，不影響水位
2026-02-27,8036.84,8139.99,8009.25,8098.37,8223.08,8112.94,空方確認,,0,,,0,100%,均線空方確認(新)；（均線空方確認於State0非有效觸發條件，不改變水位）
2026-03-02,7919.87,8144.3,7908.76,8137.36,8223.03,8119.89,中性,,0,,,0,100%,
2026-03-03,7806.3,7855.92,7673.08,7764.88,8185.92,8101.4,空方確認,down,1,7908.76,,2,60%,"向下缺口(第1個,上緣7909)；候選:第一個反向缺口→第一次減碼一階 → State1；均線空方確認(新)；候選:均線空方確認→第二次減碼觸發 → State2"
2026-03-04,7891.28,7959.85,7807.26,7914.48,8155.93,8098.81,空方確認,,0,,,1,80%,空方缺口回補(收盤確認)；候選:空方缺口回補→趨勢失敗，回升一階 → State1
2026-03-05,7875.94,7965.31,7660.7,7821.76,8120.78,8108.94,空方確認,,0,,,1,80%,
2026-03-06,7627.68,7776.72,7466.47,7514.74,8046.21,8103.95,空方確認,,0,,,1,80%,
