日期,開盤,最高,最低,收盤,MA10,MA20,水位階段,總持股比例,水位說明,當日事件,ret,strat_ret,買進持有資產,RiskFirstModel資產
2021-09-06,17534.05,17633.67,17461.07,17495.3,,,0,1.0,100%(滿倉),,0.0,0.0,1000000.0,1000000.0
2021-09-07,17534.38,17559.21,17388.37,17428.87,,,0,1.0,100%(滿倉),,-0.0037970197710242015,-0.0037970197710242015,996203.0,996203.0
2021-09-08,17411.53,17447.58,17167.08,17270.49,,,0,1.0,100%(滿倉),,-0.009087221374650123,-0.009087221374650123,987150.0,987150.0
2021-09-09,17175.04,17319.09,17122.95,17304.33,,,0,1.0,100%(滿倉),,0.0019594116901142655,0.0019594116901142655,989084.0,989084.0
2021-09-10,17270.28,17474.57,17270.28,17474.57,,,0,1.0,100%(滿倉),,0.009838000084371856,0.009838000084371856,998815.0,998815.0
2021-09-13,17452.16,17482.57,17387.57,17446.31,,,0,1.0,100%(滿倉),,-0.0016172071759132933,-0.0016172071759132933,997200.0,997200.0
2021-09-14,17463.78,17529.47,17424.54,17434.9,,,0,1.0,100%(滿倉),,-0.0006540064919171584,-0.0006540064919171584,996548.0,996548.0
2021-09-15,17434.02,17439.75,17316.52,17354.0,,,0,1.0,100%(滿倉),,-0.004640118383242853,-0.004640118383242853,991924.0,991924.0
2021-09-16,17332.34,17411.37,17254.1,17278.7,,,0,1.0,100%(滿倉),,-0.0043390572778609915,-0.0043390572778609915,987620.0,987620.0
2021-09-17,17279.29,17408.71,17235.45,17276.79,,,0,1.0,100%(滿倉),,-0.00011054072354976796,-0.00011054072354976796,987510.0,987510.0
2021-09-22,17196.79,17196.79,16838.58,16925.82,,,1,0.8,80%(第一次減碼),第一個空方缺口→減碼一階(快出),-0.02031453759639379,-0.02031453759639379,967450.0,967450.0
2021-09-23,16998.07,17145.25,16998.07,17078.22,,,1,0.8,80%(第一次減碼),,0.009003995079706728,0.007203196063765383,976160.0,974418.0
2021-09-24,17130.74,17273.59,17130.74,17260.19,,,0,1.0,100%(滿倉),"追蹤空方缺口回補→趨勢失敗,回升一階",0.010655091689883323,0.008524073351906658,986562.0,982724.0
2021-09-27,17278.11,17335.99,17235.68,17313.77,,,0,1.0,100%(滿倉),,0.0031042531976763765,0.0031042531976763765,989624.0,985775.0
2021-09-28,17286.89,17286.89,17113.47,17181.44,,,0,1.0,100%(滿倉),,-0.007643049434063243,-0.007643049434063243,982060.0,978241.0
2021-09-29,17127.86,17127.86,16801.78,16855.46,,,0,1.0,100%(滿倉),,-0.01897279855471945,-0.01897279855471945,963428.0,959681.0
2021-09-30,16886.57,16994.21,16767.2,16934.77,,,0,1.0,100%(滿倉),,0.004705300240990251,0.004705300240990251,967961.0,964196.0
2021-10-01,16883.0,16883.0,16503.74,16570.89,,,0,1.0,100%(滿倉),,-0.021487153353721422,-0.021487153353721422,947162.0,943478.0
2021-10-04,16600.52,16680.29,16380.06,16408.35,,,0,1.0,100%(滿倉),,-0.00980876706079159,-0.00980876706079159,937872.0,934224.0
2021-10-05,16362.27,16460.75,16162.17,16460.75,16898.97,17137.7,0,1.0,100%(滿倉),,0.003193495994417539,0.003193495994417539,940867.0,937207.0
2021-10-06,16488.21,16568.21,16303.63,16393.16,16845.7,17082.59,0,1.0,100%(滿倉),,-0.004106131251613743,-0.004106131251613743,937004.0,933359.0
2021-10-07,16465.57,16731.58,16465.57,16713.86,16809.26,17046.84,0,1.0,100%(滿倉),,0.019563037266762562,0.019563037266762562,955334.0,951619.0
2021-10-08,16742.35,16771.71,16605.49,16640.43,16747.29,17015.34,0,1.0,100%(滿倉),,-0.0043933597624965515,-0.0043933597624965515,951137.0,947438.0
2021-10-12,16589.72,16589.72,16349.49,16462.84,16662.2,16973.26,2,0.6,60%(第二次減碼),"第一個空方缺口→減碼一階(快出)；MA空方確認→趨勢確認,減碼一階",-0.010672200177519464,-0.010672200177519464,940986.0,937326.0
2021-10-13,16480.98,16543.33,16328.47,16347.99,16578.85,16916.93,2,0.6,60%(第二次減碼),,-0.006976317573395674,-0.0041857905440374045,934422.0,933403.0
2021-10-14,16392.51,16519.96,16347.88,16387.28,16532.03,16863.98,2,0.6,60%(第二次減碼),,0.0024033535621197366,0.001442012137271842,936668.0,934749.0
2021-10-15,16426.76,16781.19,16426.76,16781.19,16516.67,16831.29,1,0.8,80%(第一次減碼),"追蹤空方缺口回補→趨勢失敗,回升一階",0.024037546194365378,0.014422527716619227,959183.0,948230.0
2021-10-18,16816.94,16862.03,16695.89,16705.46,16530.13,16798.87,1,0.8,80%(第一次減碼),,-0.004512790809233391,-0.0036102326473867134,954854.0,944807.0
2021-10-19,16791.12,16916.72,16772.15,16900.67,16579.36,16779.97,1,0.8,80%(第一次減碼),,0.011685401060491651,0.009348320848393321,966012.0,953639.0
2021-10-20,16936.2,16973.86,16855.81,16887.82,16622.07,16760.52,1,0.8,80%(第一次減碼),,-0.0007603248865281076,-0.0006082599092224861,965278.0,953059.0
2021-10-21,16904.46,17026.89,16873.99,16889.51,16671.7,16758.7,1,0.8,80%(第一次減碼),,0.00010007212298557278,8.005769838845823e-05,965374.0,953136.0
2021-10-22,16900.32,16932.89,16800.49,16888.74,16689.19,16749.23,1,0.8,80%(第一次減碼),,-4.55904286149611e-05,-3.647234289196888e-05,965330.0,953101.0
2021-10-25,16879.34,16930.98,16784.11,16894.24,16714.57,16730.93,1,0.8,80%(第一次減碼),,0.000325660765693625,0.00026052861255490003,965644.0,953349.0
2021-10-26,16909.32,17067.15,16909.32,17034.34,16771.72,16716.96,1,0.8,80%(第一次減碼),,0.008292767239011622,0.0066342137912092985,973652.0,959674.0
2021-10-27,17037.37,17079.6,16973.16,17074.55,16844.38,16711.61,1,0.8,80%(第一次減碼),,0.0023605258554191266,0.0018884206843353013,975951.0,961486.0
2021-10-28,17081.17,17104.86,16994.37,17041.63,16909.81,16720.92,1,0.8,80%(第一次減碼),,-0.0019280156724480468,-0.0015424125379584375,974069.0,960003.0
2021-10-29,17058.04,17073.97,16920.68,16987.41,16930.44,16723.56,1,0.8,80%(第一次減碼),,-0.003181620537472174,-0.0025452964299777395,970970.0,957560.0
2021-11-01,17021.77,17119.43,17021.77,17068.24,16966.72,16748.42,1,0.8,80%(第一次減碼),,0.004758229771342437,0.00380658381707395,975590.0,961205.0
2021-11-02,17094.42,17237.09,17026.63,17065.97,16983.25,16781.3,1,0.8,80%(第一次減碼),,-0.00013299555197254787,-0.0001063964415780383,975460.0,961102.0
2021-11-03,17087.89,17153.76,17080.51,17122.16,17006.68,16814.37,1,0.8,80%(第一次減碼),,0.003292517214081414,0.0026340137712651313,978672.0,963634.0
2021-11-04,17158.28,17219.65,17061.46,17078.86,17025.61,16848.66,1,0.8,80%(第一次減碼),,-0.00252888654235206,-0.0020231092338816484,976197.0,961685.0
2021-11-05,17097.16,17296.9,17097.16,17296.9,17066.43,16877.81,1,0.8,80%(第一次減碼),,0.012766660069817304,0.010213328055853843,988660.0,971507.0
2021-11-08,17323.39,17415.3,17279.46,17415.3,17118.54,16916.56,1,0.8,80%(第一次減碼),,0.006845157224704801,0.005476125779763841,995427.0,976827.0
2021-11-09,17433.1,17581.52,17433.1,17541.36,17169.24,16970.48,0,1.0,100%(滿倉),"第一個多方缺口(觀察期,不加碼)；MA多方確認→回補一階",0.007238462731046891,0.005790770184837513,1002633.0,982483.0
2021-11-10,17549.09,17575.44,17489.87,17559.65,17217.75,17031.06,0,1.0,100%(滿倉),,0.0010426785608415035,0.0010426785608415035,1003678.0,983508.0
2021-11-11,17527.18,17527.18,17403.48,17452.52,17258.84,17084.33,0,1.0,100%(滿倉),,-0.0061009188679729265,-0.0061009188679729265,997555.0,977507.0
2021-11-12,17479.55,17602.05,17479.55,17518.13,17311.91,17121.17,0,1.0,100%(滿倉),,0.003759342490368134,0.003759342490368134,1001305.0,981182.0
2021-11-15,17560.52,17683.19,17560.52,17634.47,17368.53,17167.62,0,1.0,100%(滿倉),,0.006641119799887241,0.006641119799887241,1007955.0,987698.0
2021-11-16,17639.96,17708.1,17629.8,17693.13,17431.25,17207.25,0,1.0,100%(滿倉),,0.0033264396378229755,0.0033264396378229755,1011308.0,990984.0
2021-11-17,17705.29,17764.04,17669.58,17764.04,17495.44,17251.06,0,1.0,100%(滿倉),,0.004007770247548059,0.004007770247548059,1015361.0,994955.0
2021-11-18,17767.06,17841.37,17748.21,17841.37,17571.69,17298.65,0,1.0,100%(滿倉),,0.00435317641707611,0.00435317641707611,1019781.0,999287.0
2021-11-19,17864.19,17986.18,17786.05,17818.31,17623.83,17345.13,0,1.0,100%(滿倉),,-0.001292501640849153,-0.001292501640849153,1018463.0,997995.0
