時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA60,成交量,買賣超(元),外資累計買賣超(元),買進(元),賣出(元),外資持股比例,買賣超(元),投信累計買賣超(元),買進(元),賣出(元),投信持股比例
2026/6/8,44507.49,44507.49,42376.86,43502.78,45253.53,44775.71,43116.14,38472.65,12153.98,-939億,4081億,4184億,5122億,N/A,87.8億,1.53兆,419億,332億,N/A
2026/6/9,43687.62,44821.71,43687.62,44704.44,45082.96,44893.62,43256.45,38658.03,12230.63,-917億,3164億,4426億,5343億,N/A,233億,1.55兆,563億,330億,N/A
2026/6/10,44581.45,44676.49,43225.54,43225.54,44436.23,44790.49,43349,38821.78,14228.34,-936億,2228億,4765億,5701億,N/A,167億,1.57兆,470億,303億,N/A
2026/6/11,43172.21,43463.03,42006.39,43149.46,43930.63,44741.79,43418.88,38985.23,13373.5,-358億,1870億,5133億,5491億,N/A,132億,1.58兆,473億,340億,N/A
2026/6/12,43587.63,44798.88,43587.63,44169.04,43750.25,44685.4,43568.72,39157.44,11681.54,287億,2157億,4268億,3981億,N/A,142億,1.60兆,336億,194億,N/A
2026/6/15,44447.87,45483.63,44447.87,45396.99,44129.09,44691.31,43793.98,39341.58,11143.99,465億,2622億,4071億,3606億,N/A,64.4億,1.60兆,227億,163億,N/A
2026/6/16,45500.08,45809.19,45266.34,45809.19,44350.04,44716.5,44075.66,39543.57,12609.74,408億,3030億,4815億,4407億,N/A,118億,1.61兆,387億,269億,N/A
2026/6/17,45685.27,45877.39,45159.51,45877.39,44880.41,44658.32,44368.49,39749.13,11525.83,-207億,2824億,3918億,4125億,N/A,-2.06億,1.61兆,294億,296億,N/A
2026/6/18,45972.26,46565.7,45972.26,46465.2,45543.56,44737.1,44623.34,39978.18,16005.7,211億,3035億,6429億,6218億,N/A,-53.6億,1.61兆,905億,958億,N/A
2026/6/22,46679.57,47871.19,46679.57,47741.51,46258.06,45004.15,44897.01,40230.33,15125.15,685億,3720億,5362億,4678億,N/A,-105億,1.60兆,464億,569億,N/A
2026/6/23,47795.09,48218.87,47100.65,47100.65,46598.79,45363.94,45069.83,40458.02,16694.9,-386億,3334億,5998億,6384億,N/A,72.4億,1.60兆,634億,562億,N/A
2026/6/24,46909.98,46909.98,45819.71,46043.6,46645.67,45497.86,45195.74,40669.79,15381.34,-1774億,1560億,4909億,6683億,N/A,33.0億,1.61兆,553億,520億,N/A
2026/6/25,46339.68,46785.45,46048.7,46255.26,46721.24,45800.83,45295.66,40888.83,13668.88,-405億,1155億,5022億,5427億,N/A,174億,1.63兆,645億,471億,N/A
2026/6/26,46188.6,46188.6,44454.22,44571.76,46342.56,45943.06,45342.43,41089.73,16712.23,-1432億,-277億,5255億,6687億,N/A,101億,1.64兆,453億,352億,N/A
2026/6/29,44594.81,45521.63,44594.81,44999.9,45794.23,46026.15,45355.77,41311.01,10443.9,-43.4億,-321億,4432億,4475億,N/A,145億,1.65兆,433億,288億,N/A
2026/6/30,45165.8,46637.86,45165.8,46125.91,45599.29,46099.04,45395.17,41526.86,12651.64,-5.09億,-326億,5020億,5026億,N/A,3.65億,1.65兆,440億,437億,N/A
2026/7/1,46234.7,47293.1,46234.7,47018.99,45794.36,46220.02,45468.26,41767.64,13668.33,324億,-2.06億,4874億,4550億,N/A,156億,1.67兆,755億,599億,N/A
2026/7/2,46833.89,46910.31,45981.89,46744.16,45892.14,46306.69,45482.51,41992.88,10824.48,-890億,-893億,3625億,4516億,N/A,99.6億,1.68兆,484億,384億,N/A
2026/7/3,46545.14,46948.83,45880.69,46780.62,46333.92,46338.24,45537.67,42193.2,10768.55,-778億,-1670億,3622億,4400億,N/A,75.0億,1.68兆,379億,304億,N/A
2026/7/6,46897.18,47395.3,46431.38,46556.39,46645.21,46219.72,45611.94,42388.12,10634.75,-255億,-1925億,3472億,3727億,N/A,71.6億,1.69兆,300億,229億,N/A
2026/7/7,46537.34,46967.04,45432.02,45479.11,46515.85,46057.57,45710.76,42555.81,12268.71,-547億,-2473億,4132億,4679億,N/A,96.8億,1.70兆,331億,234億,N/A
2026/7/8,45524.69,45837.12,45036.64,45734.41,46258.94,46026.65,45762.25,42727.09,10010.34,-379億,-2852億,3874億,4253億,N/A,127億,1.71兆,266億,140億,N/A
2026/7/9,45805.62,46064.06,45352.41,45354.61,45981.03,45936.59,45868.71,42878.07,9938.02,-473億,-3325億,3679億,4151億,N/A,199億,1.73兆,302億,103億,N/A
2026/7/13,45500.32,46330.91,45272.9,45380.52,45701.01,46017.46,45980.26,43022.37,10655.3,-196億,-3520億,4089億,4284億,N/A,126億,1.75兆,288億,162億,N/A
2026/7/14,45364.4,45364.4,43654.04,44737.95,45337.32,45991.27,46008.71,43149.14,12424.66,-519億,-4039億,4555億,5074億,N/A,110億,1.76兆,330億,220億,N/A
2026/7/15,44850.69,45881.91,44850.69,45631.59,45367.82,45941.84,46020.44,43296.26,10219.27,-14.2億,-4053億,3951億,3965億,N/A,125億,1.77兆,342億,216億,N/A
2026/7/16,45511.98,45855.02,44970.64,45624.98,45345.93,45802.43,46011.23,43440.69,9301.98,-483億,-4537億,3466億,3949億,N/A,86.5億,1.78兆,319億,232億,N/A
2026/7/17,45234.08,45234.08,42671.27,42671.27,44809.26,45395.15,45850.92,43525.13,13301.51,-1883億,-6420億,3859億,5742億,N/A,73.5億,1.79兆,409億,335億,N/A
2026/7/20,42793.15,43084.51,41967.75,42449.7,44223.1,44962.05,45650.14,43601.32,10394.86,-60.8億,-6481億,4678億,4739億,N/A,163億,1.80兆,389億,225億,N/A
2026/7/21,42566.93,44232.87,42566.93,44232.87,44122.08,44729.7,45474.71,43709.96,8647.38,-43.3億,-6524億,3518億,3561億,N/A,171億,1.82兆,392億,221億,N/A
2026/7/22,44513.75,45323.75,44513.75,44825.78,43960.92,44664.37,45360.97,43808.19,10228.47,173億,-6351億,4102億,3928億,N/A,189億,1.84兆,389億,200億,N/A
2026/7/23,44899.04,45089.82,44340.76,44850.81,43806.09,44576.01,45301.33,43895.42,9278.23,69.6億,-6281億,3663億,3593億,N/A,73.7億,1.84兆,284億,211億,N/A
2026/7/24,44769.39,44769.39,43607.4,43654.84,44002.8,44406.03,45171.31,43964.31,8241.18,-610億,-6891億,2865億,3475億,N/A,47.6億,1.85兆,233億,185億,N/A
2026/7/27,43585.92,43686.15,42969.48,43634.19,44239.7,44231.4,45124.43,44036.49,7471.11,80.4億,-6810億,3351億,3270億,N/A,4.81億,1.85兆,165億,160億,N/A
2026/7/28,43221.93,43221.93,41565,41603.36,43713.8,43917.94,44954.6,44081.1,8718.72,-875億,-7685億,2924億,3799億,N/A,16.1億,1.85兆,219億,203億,N/A
2026/7/29,41491.48,41698.39,39384.85,40039.18,42756.48,43358.7,44650.27,44070,11484.53,-223億,-7908億,4686億,4908億,N/A,57.1億,1.86兆,236億,179億,N/A
2026/7/30,40048.94,41155.42,39404.65,39933.3,41772.97,42789.53,44295.98,44056.07,11450.77,-483億,-8391億,4985億,5468億,N/A,140億,1.87兆,283億,143億,N/A
2026/7/31,41610.41,43214.36,41610.41,43119.75,41665.96,42834.38,44114.76,44089.08,8873.29,676億,-7715億,4013億,3338億,N/A,360億,1.91兆,405億,45.2億,N/A
2026/8/3,42780.42,43784.19,42780.42,43386.41,41616.4,42928.05,43945.05,44113.29,8850.07,-192億,-7907億,3514億,3706億,N/A,233億,1.93兆,355億,121億,N/A
2026/8/4,43092.49,43912.77,42895.81,43360.66,41967.86,42840.83,43785.26,44142.57,10862.78,-57.3億,-7964億,4477億,4534億,N/A,272億,1.96兆,470億,198億,N/A
2026/8/5,43809.83,44980.31,43809.83,44611.6,42882.34,42819.41,43741.89,44189.6,11992.36,903億,-7061億,4946億,4043億,N/A,113億,1.97兆,290億,178億,N/A
