日期,開盤,最高,最低,收盤,MA10,MA20,水位階段,總持股比例,水位說明,當日事件
2026/3/2,35277.48,35345.72,34605.36,35095.09,33706.42,32933.36,0,1,100%(滿倉),
2026/3/3,35106.22,35264.59,34323.65,34323.65,33958.66,33062.24,0,1,100%(滿倉),
2026/3/4,34228.75,34228.75,32828.88,32828.88,34063.26,33105.61,2,0.6,60%(第二次減碼),"第一個空方缺口→減碼一階(快出)；MA空方確認→趨勢確認,減碼一階"
2026/3/5,33620.74,34319.68,33472.91,33672.94,34190.09,33186.03,2,0.6,60%(第二次減碼),
2026/3/6,33483.94,33829.49,33322.52,33599.54,34242.75,33250.11,2,0.6,60%(第二次減碼),
2026/3/9,32354.61,32354.61,31529.36,32110.42,34093.22,33215.44,2,0.6,60%(第二次減碼),
2026/3/10,32692.37,33256.69,32455.2,32771.87,33993.08,33227.22,1,0.8,80%(第一次減碼),第二個(以上)多方缺口→回補一階
2026/3/11,33128.49,34218.66,33128.49,34114.19,33934.41,33329.75,0,1,100%(滿倉),"追蹤空方缺口回補→趨勢失敗,回升一階"
2026/3/12,33816.15,34019.48,33458.64,33581.86,33751.29,33427.64,0,1,100%(滿倉),
2026/3/13,33215.78,33639.18,33013.46,33400.32,33549.88,33487.88,0,1,100%(滿倉),
2026/3/16,33541.25,33765.81,33278.06,33342.51,33374.62,33540.52,0,1,100%(滿倉),
2026/3/17,33380.84,34008.7,33380.84,33836.57,33325.91,33642.28,0,1,100%(滿倉),
2026/3/18,33929.28,34423.66,33929.28,34348.58,33477.88,33770.57,0,1,100%(滿倉),
2026/3/19,34279.12,34279.12,33663.78,33689.68,33479.55,33834.82,0,1,100%(滿倉),
2026/3/20,33719.85,33989.18,33379.24,33543.88,33473.99,33858.37,0,1,100%(滿倉),
2026/3/23,33334,33334,32461.09,32722.5,33535.2,33814.21,2,0.6,60%(第二次減碼),"第一個空方缺口→減碼一階(快出)；MA空方確認→趨勢確認,減碼一階"
2026/3/24,33062.89,33361.46,32434.54,32612.24,33519.23,33756.16,2,0.6,60%(第二次減碼),
2026/3/25,32725.27,33705.75,32725.27,33439.11,33451.72,33693.07,1,0.8,80%(第一次減碼),"追蹤空方缺口回補→趨勢失敗,回升一階"
2026/3/26,33575.6,33892.56,33337.62,33337.62,33427.3,33589.3,1,0.8,80%(第一次減碼),
2026/3/27,33267.25,33267.25,32669.39,33112.59,33398.53,33474.2,2,0.6,60%(第二次減碼),"第一個空方缺口→減碼一階(快出)；MA空方確認→趨勢確認,減碼一階"
2026/3/30,33009.68,33009.68,32326.37,32518.16,33316.09,33345.36,2,0.6,60%(第二次減碼),
2026/3/31,32419,32453.38,31705.99,31722.99,33104.74,33215.32,2,0.6,60%(第二次減碼),
2026/4/1,31892.33,33182.22,31892.33,33174.82,32987.36,33232.62,2,0.6,60%(第二次減碼),
2026/4/2,33218.02,33497.58,32516.94,32572.43,32875.63,33177.59,2,0.6,60%(第二次減碼),
2026/4/7,32671.52,33264.22,32671.52,33229.82,32844.23,33159.11,2,0.6,60%(第二次減碼),
2026/4/8,33379.5,34761.38,33379.5,34761.38,33048.12,33291.66,0,1,100%(滿倉),"第一個多方缺口(觀察期,不加碼)；MA多方確認→回補一階；追蹤空方缺口回補→趨勢失敗,回升一階"
2026/4/9,34779.96,34884.45,34617.34,34861.16,33273.01,33396.12,0,1,100%(滿倉),
2026/4/10,34950.87,35417.83,34950.87,35417.83,33470.88,33461.3,0,1,100%(滿倉),
2026/4/13,35422.91,35552.49,35261.73,35457.29,33682.85,33555.07,0,1,100%(滿倉),
2026/4/14,35584.09,36341.44,35584.09,36296.12,34001.2,33699.86,0,1,100%(滿倉),
2026/4/15,36369.11,37064.16,36369.11,36722.14,34421.6,33868.85,0,1,100%(滿倉),
2026/4/16,36759.53,37135.55,36751.09,37132.02,34962.5,34033.62,0,1,100%(滿倉),
2026/4/17,37145.66,37145.66,36776.28,36804.34,35325.45,34156.41,0,1,100%(滿倉),
2026/4/20,36850.24,37344.5,36850.24,36958.8,35764.09,34319.86,0,1,100%(滿倉),
2026/4/21,37051.25,37781.83,37051.25,37605.11,36201.62,34522.92,0,1,100%(滿倉),
2026/4/22,37627.2,38096.88,37623.38,37878.47,36513.33,34780.72,0,1,100%(滿倉),
2026/4/23,37971.69,38921.95,37164.44,37714.15,36798.63,35035.82,0,1,100%(滿倉),
2026/4/24,37862.65,38989.94,37862.65,38932.4,37150.08,35310.48,0,1,100%(滿倉),
2026/4/27,39858.19,40194.92,39607.74,39616.63,37566.02,35624.43,0,1,100%(滿倉),
2026/4/28,39531.93,40101.23,39521.73,39521.73,37888.58,35944.89,0,1,100%(滿倉),
2026/4/29,39176.24,39548.18,38896.3,39303.5,38146.72,36284.16,0,1,100%(滿倉),
2026/4/30,39571.46,39848.22,38926.63,38926.63,38326.18,36644.34,0,1,100%(滿倉),
2026/5/4,39228.39,40755.52,39228.39,40705.14,38716.26,37020.85,0,1,100%(滿倉),
2026/5/5,40708.4,40885.05,40522.78,40769.29,39097.3,37430.7,0,1,100%(滿倉),
2026/5/6,40983.04,41575.84,40616.28,41138.85,39450.68,37826.15,0,1,100%(滿倉),
2026/5/7,41259.96,42156.06,41259.96,41933.78,39856.21,38184.77,0,1,100%(滿倉),
2026/5/8,41886.03,42038.6,41132.25,41603.94,40245.19,38521.91,0,1,100%(滿倉),
2026/5/11,41714,42021.78,41529.25,41790.06,40530.96,38840.52,0,1,100%(滿倉),
2026/5/12,41880.66,42253.42,41471.57,41898.32,40759.12,39162.57,0,1,100%(滿倉),
2026/5/13,41795.92,41795.92,41014.53,41374.5,40944.4,39416.49,0,1,100%(滿倉),
2026/5/14,41496.23,42205.62,41496.23,41751.75,41189.23,39667.97,0,1,100%(滿倉),
2026/5/15,41830.42,42408.66,41016.73,41172.36,41413.8,39869.99,0,1,100%(滿倉),
2026/5/18,41095.82,41095.82,40170.17,40891.82,41432.47,40074.36,0,1,100%(滿倉),
2026/5/19,40883.42,40951.56,40168.51,40175.56,41373.09,40235.2,0,1,100%(滿倉),
2026/5/20,40204.16,40439.04,39967.08,40020.82,41261.29,40355.98,0,1,100%(滿倉),
2026/5/21,40263.18,41606.91,40263.18,41368.21,41204.73,40530.47,0,1,100%(滿倉),
2026/5/22,41447.92,42357.6,41447.92,42267.97,41271.14,40758.16,0,1,100%(滿倉),
2026/5/25,42667.87,43645.78,42667.87,43644.4,41456.57,40993.76,0,1,100%(滿倉),"第一個多方缺口(觀察期,不加碼)"
2026/5/26,43708.89,44097.63,43349.77,43525.37,41619.28,41189.2,0,1,100%(滿倉),
2026/5/27,43842.26,44818.25,43842.26,44256.8,41907.51,41425.95,0,1,100%(滿倉),
2026/5/28,44240.8,44954.09,43236.36,43636.44,42095.98,41642.6,0,1,100%(滿倉),
2026/5/29,43815.48,44933.95,43815.48,44732.94,42452.03,41932.92,0,1,100%(滿倉),
