時間,開盤價,最高價,最低價,收盤價,SMA10,SMA20,SMA60,成交量,買賣超(元),外資累計買賣超(元),買進(元),賣出(元),外資持股比例,買賣超(元),投信累計買賣超(元),買進(元),賣出(元),投信持股比例
2023/6/16,17342.86,17342.86,17250.79,17288.91,17005.27,16721.78,16062.51,4580.25,32.7億,2.37兆,1530億,1497億,N/A,-40.9億,1582億,196億,237億,N/A
2023/6/19,17274.07,17306.81,17210.87,17274.56,17061.28,16776.46,16091.86,3256.53,-44.3億,2.37兆,850億,895億,N/A,-2.92億,1579億,178億,181億,N/A
2023/6/20,17233.8,17247.16,17121.59,17184.91,17103.6,16826.3,16115.6,3236.5,46.3億,2.37兆,982億,936億,N/A,-55.6億,1523億,150億,205億,N/A
2023/6/21,17186.72,17246.77,17131.45,17202.4,17131.6,16878.46,16137.91,3307.61,17.2億,2.37兆,1039億,1022億,N/A,-17.0億,1506億,102億,119億,N/A
2023/6/26,17182.48,17182.48,17011.28,17059.24,17164.15,16916.82,16156.98,3040.55,-253億,2.35兆,908億,1161億,N/A,-2.79億,1504億,97.8億,101億,N/A
2023/6/27,17022.15,17035.49,16887.9,16887.9,17164.3,16935.96,16174.61,3002.03,-109億,2.34兆,835億,945億,N/A,-29.9億,1474億,48.9億,78.8億,N/A
2023/6/28,16906.23,17011.12,16903.71,16935.63,17162.33,16950.93,16195.18,2652.3,-95.4億,2.33兆,753億,849億,N/A,5.02億,1479億,45.7億,40.6億,N/A
2023/6/29,16930.41,17077.44,16911.38,16942.3,17134.9,16966.91,16214.72,2735.19,-53.2億,2.32兆,808億,862億,N/A,-4.50億,1474億,29.8億,34.3億,N/A
2023/6/30,16870.27,16919.95,16792.34,16915.54,17102.64,16983.74,16232.49,3131.06,-93.3億,2.31兆,967億,1060億,N/A,-1.82億,1472億,38.7億,40.5億,N/A
2023/7/3,16946.71,17103.73,16946.71,17084.2,17077.56,17012.31,16252.76,3432.04,56.7億,2.32兆,927億,870億,N/A,-8.26億,1464億,44.5億,52.7億,N/A
2023/7/4,17055.19,17154.1,17042.6,17140.77,17062.75,17034.01,16274.93,3828.1,-23.0億,2.32兆,910億,933億,N/A,-22.8億,1441億,64.7億,87.5億,N/A
2023/7/5,17130.26,17153.17,17020.01,17056.43,17040.93,17051.11,16295.26,3422.62,-131億,2.30兆,829億,960億,N/A,-6.08億,1435億,49.3億,55.4億,N/A
2023/7/6,17017.09,17017.09,16749.29,16762.17,16998.66,17051.13,16310.03,3544.34,-388億,2.26兆,913億,1301億,N/A,2.29億,1437億,44.5億,42.2億,N/A
2023/7/7,16736.94,16762.39,16593.84,16664.21,16944.84,17038.22,16322.53,3100.81,-211億,2.24兆,834億,1045億,N/A,-4.54億,1433億,39.5億,44.0億,N/A
2023/7/10,16667.43,16798.81,16635.83,16652.8,16904.2,17034.17,16334.53,2723.55,-142億,2.23兆,745億,887億,N/A,12.2億,1445億,36.5億,24.3億,N/A
2023/7/11,16675.69,16898.91,16675.69,16898.91,16905.3,17034.8,16352.76,3198.47,159億,2.24兆,952億,793億,N/A,8904萬,1446億,39.3億,38.4億,N/A
2023/7/12,16903.25,16962.03,16864.01,16962.03,16907.94,17035.13,16369.97,3539.3,-56.6億,2.24兆,930億,987億,N/A,16.5億,1463億,75.9億,59.4億,N/A
2023/7/13,16994.59,17223.86,16994.59,17061.4,16919.85,17027.37,16388.27,4711.98,206億,2.26兆,1384億,1178億,N/A,-15.1億,1447億,51.0億,66.1億,N/A
2023/7/14,17152.81,17287.4,17128.07,17283.71,16956.66,17029.65,16411.84,4292.4,124億,2.27兆,1289億,1166億,N/A,-13.1億,1434億,53.6億,66.7億,N/A
2023/7/17,17279.11,17346.66,17235.92,17334.29,16981.67,17029.62,16437.91,3947.23,30.4億,2.27兆,1073億,1043億,N/A,-18.2億,1416億,47.7億,65.9億,N/A
2023/7/18,17368.36,17401.59,17164.92,17227.91,16990.39,17026.57,16463.25,4936.44,-75.8億,2.27兆,1329億,1405億,N/A,-12.9億,1403億,128億,141億,N/A
2023/7/19,17265.38,17340.82,17082.54,17116.44,16996.39,17018.66,16488.47,4335.33,6.43億,2.27兆,1328億,1321億,N/A,-21.2億,1382億,91.6億,113億,N/A
2023/7/20,17104.91,17214.41,17098.65,17164.89,17036.66,17017.66,16514.1,3203.97,-53.6億,2.26兆,931億,985億,N/A,-15.2億,1367億,87.6億,103億,N/A
2023/7/21,17106.29,17106.29,16859.13,17030.7,17073.31,17009.07,16541.77,4397.43,-289億,2.23兆,1223億,1512億,N/A,-26.5億,1340億,107億,133億,N/A
2023/7/24,17036.79,17098.73,16941.15,17033.61,17111.39,17007.79,16569.42,4099.82,-195億,2.21兆,1061億,1257億,N/A,-30.2億,1310億,91.0億,121億,N/A
2023/7/25,17061.88,17270.2,17061.88,17198.89,17141.39,17023.34,16599.21,4293.9,96.0億,2.22兆,1298億,1202億,N/A,-6.83億,1303億,53.2億,60.0億,N/A
2023/7/26,17205.47,17247.02,17121.99,17162.55,17161.44,17034.69,16625.6,3695.02,15.3億,2.23兆,1077億,1061億,N/A,-20.6億,1283億,39.0億,59.6億,N/A
2023/7/27,17189.3,17282.86,17189.3,17241.82,17179.48,17049.66,16652.36,3553.31,105億,2.24兆,1079億,974億,N/A,-15.5億,1267億,44.3億,59.8億,N/A
2023/7/28,17244.51,17328.21,17179.94,17292.93,17180.4,17068.53,16681.35,3855.22,15.2億,2.24兆,1163億,1148億,N/A,7.35億,1275億,55.6億,48.2億,N/A
2023/7/31,17341.04,17463.76,17081.48,17145.43,17161.52,17071.59,16706.95,4922.31,-88.4億,2.23兆,1536億,1624億,N/A,18.5億,1293億,62.8億,44.3億,N/A
2023/8/1,17141.97,17252.32,17095.86,17212.87,17160.01,17075.2,16733.4,3885.6,85.1億,2.24兆,1312億,1227億,N/A,-3.15億,1290億,56.2億,59.3億,N/A
2023/8/2,17207.22,17212.55,16844.57,16893.73,17137.74,17067.06,16753.3,4588.94,-211億,2.22兆,1378億,1589億,N/A,5.04億,1295億,74.9億,69.8億,N/A
2023/8/4,16847.24,16887.38,16748.51,16843.68,17105.62,17071.14,16771.9,3744.15,-103億,2.21兆,1281億,1384億,N/A,10.2億,1305億,70.3億,60.1億,N/A
2023/8/7,16870.81,17032.32,16868.74,16996,17102.15,17087.73,16794.47,3280.96,-31.8億,2.20兆,963億,995億,N/A,31.9億,1337億,68.5億,36.6億,N/A
2023/8/8,17006.46,17043.56,16812.59,16877.07,17086.5,17098.94,16817.18,3792.46,-193億,2.18兆,1145億,1338億,N/A,35.7億,1373億,84.5億,48.8億,N/A
2023/8/9,16836.64,16956.73,16798.5,16870.94,17053.7,17097.54,16839.99,3328.75,34.5億,2.19兆,1075億,1041億,N/A,44.4億,1417億,74.0億,29.6億,N/A
2023/8/10,16827.11,16827.11,16601.17,16634.7,17000.92,17081.18,16859.32,3543.66,-110億,2.18兆,1068億,1178億,N/A,20.9億,1438億,56.5億,35.5億,N/A
2023/8/11,16644.65,16766.84,16601.25,16601.25,16936.86,17058.17,16874.77,2955.69,-27.8億,2.17兆,1011億,1039億,N/A,23.6億,1462億,64.0億,40.4億,N/A
2023/8/14,16585.41,16585.41,16307.28,16393.66,16846.93,17013.67,16882.58,3295.52,-173億,2.16兆,952億,1125億,N/A,60.6億,1522億,94.7億,34.2億,N/A
2023/8/15,16438.63,16546.01,16437.63,16454.8,16777.87,16969.69,16888.46,2986.35,-8.60億,2.15兆,963億,972億,N/A,18.8億,1541億,74.1億,55.2億,N/A
2023/8/16,16422.2,16446.78,16304.44,16446.78,16701.26,16930.64,16892.99,3325.61,-162億,2.14兆,1033億,1195億,N/A,62.2億,1603億,88.4億,26.2億,N/A
2023/8/17,16411.63,16550.11,16264.65,16516.66,16663.55,16900.65,16898.59,3864.98,-165億,2.12兆,1143億,1308億,N/A,40.6億,1644億,68.1億,27.5億,N/A
2023/8/18,16508.46,16583.95,16344.29,16381.31,16617.32,16861.47,16901.81,3865.65,-193億,2.10兆,1035億,1228億,N/A,13.1億,1657億,45.5億,32.5億,N/A
2023/8/21,16414.14,16485.25,16347.77,16381.49,16555.87,16829.01,16905.51,2671.05,79.7億,2.11兆,882億,802億,N/A,9.11億,1666億,39.0億,29.9億,N/A
2023/8/22,16429.69,16535.07,16407.83,16437.61,16511.92,16799.21,16907.94,3102.1,62.9億,2.12兆,989億,926億,N/A,29.2億,1695億,48.4億,19.3億,N/A
2023/8/23,16440.39,16588.51,16440.39,16576.9,16482.52,16768.11,16909.14,2942.11,61.6億,2.12兆,965億,904億,N/A,21.4億,1717億,45.5億,24.1億,N/A
2023/8/24,16651.03,16822.36,16651.03,16770.87,16496.13,16748.53,16911.38,4511.61,123億,2.14兆,1375億,1251億,N/A,30.7億,1747億,62.6億,31.9億,N/A
2023/8/25,16708.53,16708.53,16481.58,16481.58,16484.17,16710.51,16909.03,3279.45,-336億,2.10兆,926億,1262億,N/A,8.74億,1756億,43.1億,34.4億,N/A
2023/8/28,16498.86,16582.96,16498.86,16509.26,16495.73,16671.33,16907.87,2832.01,-28.9億,2.10兆,865億,894億,N/A,16.2億,1772億,60.5億,44.3億,N/A
2023/8/29,16528.49,16627.7,16495.76,16623.65,16512.61,16645.24,16909.72,2536.08,41.3億,2.10兆,827億,785億,N/A,31.8億,1804億,70.0億,38.3億,N/A
2023/8/30,16666.33,16780.42,16666.33,16719.82,16539.92,16620.59,16909.93,2847.72,71.5億,2.11兆,897億,826億,N/A,29.9億,1834億,64.3億,34.4億,N/A
2023/8/31,16707.35,16712.22,16630.67,16634.51,16551.7,16607.63,16908.6,3601.95,-56.3億,2.10兆,1603億,1660億,N/A,21.7億,1856億,64.1億,42.4億,N/A
2023/9/1,16640.92,16730.13,16619.23,16644.94,16578.06,16597.69,16906.65,2858.42,-85.4億,2.10兆,745億,830億,N/A,29.7億,1885億,69.3億,39.6億,N/A
2023/9/4,16649.67,16789.69,16648.51,16789.69,16618.88,16587.37,16904.44,2367.66,15.4億,2.10兆,671億,656億,N/A,16.3億,1902億,51.9億,35.7億,N/A
2023/9/5,16784.12,16791.61,16727.44,16791.61,16654.28,16583.1,16905.41,2530.77,12.1億,2.10兆,717億,705億,N/A,18.4億,1920億,53.8億,35.4億,N/A
2023/9/6,16796.37,16841.19,16732.69,16738.16,16670.41,16576.46,16902.94,2766.13,-80.7億,2.09兆,731億,812億,N/A,39.0億,1959億,75.8億,36.8億,N/A
